class_name,dish_group
apple_pie,dessert
baby_back_ribs,meat_main
baklava,dessert
beef_carpaccio,meat_main
beef_tartare,meat_main
beet_salad,salad
beignets,dessert
bibimbap,mixed_main
bread_pudding,dessert
breakfast_burrito,breakfast
bruschetta,bread
caesar_salad,salad
cannoli,dessert
caprese_salad,salad
carrot_cake,dessert
ceviche,seafood
cheesecake,dessert
cheese_plate,dairy_fat
chicken_curry,meat_main
chicken_quesadilla,sandwich
chicken_wings,meat_main
chocolate_cake,dessert
chocolate_mousse,dessert
churros,dessert
clam_chowder,soup_liquid
club_sandwich,sandwich
crab_cakes,seafood
creme_brulee,dessert
croque_madame,sandwich
cup_cakes,dessert
deviled_eggs,protein
donuts,dessert
dumplings,starch_main
edamame,starch_legume
eggs_benedict,breakfast
escargots,seafood
falafel,starch_legume
filet_mignon,meat_main
fish_and_chips,seafood
foie_gras,meat_main
french_fries,starch
french_onion_soup,soup_liquid
french_toast,breakfast
fried_calamari,seafood
fried_rice,starch_main
frozen_yogurt,dairy_dessert
garlic_bread,bread
gnocchi,starch_main
greek_salad,salad
grilled_cheese_sandwich,sandwich
grilled_salmon,seafood
guacamole,fruit_fat
gyoza,starch_main
hamburger,sandwich
hot_and_sour_soup,soup_liquid
hot_dog,sandwich
huevos_rancheros,breakfast
hummus,starch_legume
ice_cream,dairy_dessert
lasagna,starch_main
lobster_bisque,soup_liquid
lobster_roll_sandwich,sandwich
macaroni_and_cheese,starch_main
macarons,dessert
miso_soup,soup_liquid
mussels,seafood
nachos,starch_main
omelette,breakfast
onion_rings,starch
oysters,seafood
pad_thai,starch_main
paella,starch_main
pancakes,breakfast
panna_cotta,dairy_dessert
peking_duck,meat_main
pho,soup_liquid
pizza,starch_main
pork_chop,meat_main
poutine,starch_main
prime_rib,meat_main
pulled_pork_sandwich,sandwich
ramen,soup_liquid
ravioli,starch_main
red_velvet_cake,dessert
risotto,starch_main
samosa,starch_main
sashimi,seafood
scallops,seafood
seaweed_salad,salad
shrimp_and_grits,seafood
spaghetti_bolognese,starch_main
spaghetti_carbonara,starch_main
spring_rolls,starch_main
steak,meat_main
strawberry_shortcake,dessert
sushi,seafood
tacos,mixed_main
takoyaki,seafood
tiramisu,dessert
tuna_tartare,seafood
waffles,breakfast
