epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,156.14,3.70698,0.60179,0.8381,1.74402,0.00998273,0.00332758,0.00998273,0.00332758,0.00998273,0.00332758,0.00998273,0.00332758
2,312.493,1.37657,0.75728,0.9298,0.9102,0.0197849,0.00659497,0.0197849,0.00659497,0.0197849,0.00659497,0.0197849,0.00659497
3,464.454,1.00136,0.76041,0.9311,0.89877,0.0293891,0.00979636,0.0293891,0.00979636,0.0293891,0.00979636,0.0293891,0.00979636
4,616.187,0.97062,0.77523,0.9352,0.85297,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,767.229,0.87313,0.77949,0.93649,0.84102,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,918.022,0.82442,0.78273,0.94086,0.82646,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1068.45,0.78539,0.79572,0.94355,0.78447,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1218.08,0.76354,0.79685,0.94231,0.78191,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1369.13,0.74988,0.80192,0.94743,0.75104,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1520.4,0.74921,0.81502,0.95164,0.70293,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,1670.45,0.73736,0.82068,0.95137,0.69131,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,1821.3,0.72344,0.82095,0.95309,0.70162,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,1972.32,0.7177,0.83114,0.95595,0.65088,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,2123.21,0.7103,0.83163,0.95811,0.6424,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,2273.37,0.70168,0.83691,0.95924,0.62507,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,2423.81,0.68812,0.83977,0.96021,0.61718,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,2574.84,0.67588,0.84494,0.96183,0.60726,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,2725.8,0.67114,0.84845,0.96161,0.59387,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
