epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,130.698,0.47716,0.8457,0.9621,0.60222,0.00598964,0.00199655,0.00598964,0.00199655,0.00598964,0.00199655,0.00598964,0.00199655
2,254.464,0.46715,0.83826,0.95946,0.62273,0.0117918,0.0039306,0.0117918,0.0039306,0.0117918,0.0039306,0.0117918,0.0039306
3,377.637,0.50907,0.8147,0.95115,0.7237,0.017396,0.00579866,0.017396,0.00579866,0.017396,0.00579866,0.017396,0.00579866
4,501.223,0.69858,0.75049,0.92743,0.95811,0.0228022,0.00760072,0.0228022,0.00760072,0.0228022,0.00760072,0.0228022,0.00760072
5,625.027,1.06819,0.68428,0.89233,1.23601,0.0280103,0.00933677,0.0280103,0.00933677,0.0280103,0.00933677,0.0280103,0.00933677
6,748.575,1.31127,0.70272,0.90317,1.13788,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175
7,872.128,1.24686,0.71312,0.90732,1.09466,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
8,996.044,1.2052,0.73,0.91336,1.0283,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
9,1119.94,1.17692,0.74083,0.91902,0.99378,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
10,1243.31,1.15833,0.76537,0.93185,0.89737,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
11,1366.98,1.13448,0.76962,0.93137,0.87661,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
12,1490.31,1.12271,0.78461,0.93741,0.82678,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185
13,1615.06,1.10797,0.79097,0.94059,0.78781,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
14,1739.69,1.08774,0.79895,0.9422,0.76558,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855
15,1866.17,1.08019,0.80391,0.94565,0.75029,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
16,1990.34,1.06181,0.81103,0.94889,0.72856,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
17,2112.75,1.04861,0.81637,0.94937,0.71647,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
18,2235.34,1.03868,0.81912,0.95083,0.70231,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195
19,2357.78,1.01709,0.82251,0.9532,0.68641,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
20,2480.7,0.9999,0.82586,0.95261,0.67718,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865
