epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,129.771,4.47991,0.27599,0.52507,3.9006,0.00299482,0.000998273,0.00299482,0.000998273,0.00299482,0.000998273,0.00299482,0.000998273
2,253.512,2.99425,0.57931,0.82683,1.852,0.00593547,0.00197849,0.00593547,0.00197849,0.00593547,0.00197849,0.00593547,0.00197849
3,376.563,1.74306,0.6949,0.896,1.20149,0.00881672,0.00293891,0.00881672,0.00293891,0.00881672,0.00293891,0.00881672,0.00293891
4,499.725,1.31718,0.74951,0.92317,0.96937,0.0116386,0.00387952,0.0116386,0.00387952,0.0116386,0.00387952,0.0116386,0.00387952
5,623.545,1.0982,0.77286,0.93493,0.85506,0.014401,0.00480034,0.014401,0.00480034,0.014401,0.00480034,0.014401,0.00480034
6,746.827,0.97235,0.78903,0.94059,0.79506,0.0171041,0.00570136,0.0171041,0.00570136,0.0171041,0.00570136,0.0171041,0.00570136
7,870.738,0.89353,0.79453,0.94447,0.76302,0.0197477,0.00658258,0.0197477,0.00658258,0.0197477,0.00658258,0.0197477,0.00658258
8,994.641,0.87348,0.79712,0.94522,0.76339,0.022332,0.00744399,0.022332,0.00744399,0.022332,0.00744399,0.022332,0.00744399
9,1118.31,0.90524,0.78715,0.93989,0.80714,0.0248568,0.00828561,0.0248568,0.00828561,0.0248568,0.00828561,0.0248568,0.00828561
10,1242.02,1.0215,0.77895,0.93989,0.83134,0.0273223,0.00910743,0.0273223,0.00910743,0.0273223,0.00910743,0.0273223,0.00910743
11,1365.57,1.12992,0.77938,0.93821,0.83718,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,1490.68,1.1558,0.78386,0.93951,0.8175,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,1615.08,1.17552,0.78607,0.94016,0.80836,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,1738.48,1.17764,0.79335,0.94264,0.7834,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,1862.11,1.19408,0.7962,0.94301,0.77233,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,1985.22,1.18757,0.80181,0.94555,0.74858,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,2108.44,1.18831,0.80499,0.9463,0.74179,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
