Path | Defects
--------------------------------------------------
images\apple_pie\1011328.jpg | Blurry(56)
images\apple_pie\1111062.jpg | Blurry(48)
images\apple_pie\116697.jpg | Blurry(63)
images\apple_pie\116705.jpg | Blurry(39)
images\apple_pie\1199851.jpg | Blurry(60)
images\apple_pie\1214326.jpg | Blurry(16)
images\apple_pie\1230465.jpg | Blurry(56)
images\apple_pie\127721.jpg | Blurry(54)
images\apple_pie\129668.jpg | Blurry(57)
images\apple_pie\1321400.jpg | Blurry(26)
images\apple_pie\1327259.jpg | Blurry(62)
images\apple_pie\136256.jpg | Blurry(40)
images\apple_pie\1375404.jpg | Blurry(37)
images\apple_pie\1379062.jpg | Blurry(41)
images\apple_pie\1397313.jpg | Blurry(76)
images\apple_pie\1406371.jpg | Blurry(79)
images\apple_pie\1420999.jpg | Blurry(44)
images\apple_pie\1444702.jpg | Blurry(70)
images\apple_pie\1456379.jpg | Blurry(68)
images\apple_pie\156078.jpg | Blurry(24)
images\apple_pie\1657587.jpg | Blurry(77)
images\apple_pie\1659828.jpg | Blurry(73)
images\apple_pie\1717754.jpg | Blurry(76)
images\apple_pie\1753935.jpg | Blurry(52)
images\apple_pie\1771395.jpg | Blurry(57)
images\apple_pie\1773419.jpg | Blurry(71)
images\apple_pie\1810149.jpg | Blurry(51)
images\apple_pie\1815972.jpg | Blurry(63)
images\apple_pie\1830215.jpg | Blurry(74)
images\apple_pie\1914188.jpg | Blurry(48)
images\apple_pie\1919827.jpg | Blurry(70)
images\apple_pie\1941412.jpg | Blurry(70)
images\apple_pie\1990658.jpg | Blurry(38)
images\apple_pie\1994318.jpg | Blurry(69)
images\apple_pie\2012973.jpg | Blurry(33)
images\apple_pie\2030311.jpg | Blurry(74)
images\apple_pie\2051864.jpg | Blurry(77)
images\apple_pie\205716.jpg | Blurry(27)
images\apple_pie\208041.jpg | TooDark(33)
images\apple_pie\2084963.jpg | Blurry(65)
images\apple_pie\2086645.jpg | Blurry(79)
images\apple_pie\2101662.jpg | Blurry(68)
images\apple_pie\21063.jpg | Blurry(48)
images\apple_pie\2235729.jpg | Blurry(26)
images\apple_pie\2254489.jpg | Blurry(48)
images\apple_pie\2320000.jpg | Blurry(43)
images\apple_pie\2348133.jpg | Blurry(71)
images\apple_pie\236966.jpg | Blurry(70)
images\apple_pie\2446500.jpg | Blurry(72)
images\apple_pie\2447421.jpg | Blurry(55)
images\apple_pie\2485958.jpg | Blurry(50)
images\apple_pie\2569986.jpg | Blurry(60)
images\apple_pie\2605371.jpg | TooDark(37)
images\apple_pie\2648160.jpg | Blurry(69)
images\apple_pie\2656095.jpg | Blurry(78)
images\apple_pie\2677312.jpg | Blurry(79)
images\apple_pie\267865.jpg | Blurry(28)
images\apple_pie\2683315.jpg | Blurry(79)
images\apple_pie\2754101.jpg | Blurry(75),TooDark(28)
images\apple_pie\2766379.jpg | Blurry(27)
images\apple_pie\2804953.jpg | Blurry(74)
images\apple_pie\2806926.jpg | Blurry(29)
images\apple_pie\2853890.jpg | Blurry(53)
images\apple_pie\2878249.jpg | Blurry(49)
images\apple_pie\2909830.jpg | Blurry(59)
images\apple_pie\2940483.jpg | Blurry(51)
images\apple_pie\3023096.jpg | Blurry(34)
images\apple_pie\3025907.jpg | Blurry(73)
images\apple_pie\3031488.jpg | Blurry(62)
images\apple_pie\3065929.jpg | Blurry(64)
images\apple_pie\3079946.jpg | Blurry(69)
images\apple_pie\3110084.jpg | TooDark(31)
images\apple_pie\3251989.jpg | Blurry(38)
images\apple_pie\3256198.jpg | Blurry(62)
images\apple_pie\3299260.jpg | Blurry(50)
images\apple_pie\3330808.jpg | Blurry(41)
images\apple_pie\3358059.jpg | Blurry(56)
images\apple_pie\3375088.jpg | Blurry(65)
images\apple_pie\339902.jpg | Blurry(54)
images\apple_pie\3440507.jpg | Blurry(59)
images\apple_pie\3440893.jpg | Blurry(72)
images\apple_pie\3452805.jpg | Blurry(57)
images\apple_pie\3495444.jpg | Blurry(54)
images\apple_pie\3503020.jpg | Blurry(50)
images\apple_pie\3517723.jpg | Blurry(69)
images\apple_pie\3553736.jpg | Blurry(70)
images\apple_pie\3570483.jpg | Blurry(36)
images\apple_pie\3619289.jpg | Blurry(68)
images\apple_pie\3633369.jpg | Blurry(46)
images\apple_pie\3829004.jpg | Blurry(49)
images\apple_pie\3848012.jpg | Blurry(78)
images\apple_pie\3915887.jpg | Blurry(11)
images\apple_pie\3915901.jpg | Blurry(70)
images\apple_pie\420643.jpg | Blurry(43)
images\apple_pie\456190.jpg | Blurry(78)
images\apple_pie\471995.jpg | Blurry(15)
images\apple_pie\505249.jpg | Blurry(74)
images\apple_pie\532191.jpg | Blurry(46)
images\apple_pie\543253.jpg | Blurry(46)
images\apple_pie\559953.jpg | Blurry(49)
images\apple_pie\589712.jpg | TooDark(39)
images\apple_pie\672196.jpg | Blurry(52)
images\apple_pie\722783.jpg | Blurry(78)
images\apple_pie\770439.jpg | Blurry(68)
images\apple_pie\817073.jpg | Blurry(76)
images\apple_pie\829949.jpg | Blurry(59)
images\apple_pie\833369.jpg | Blurry(22)
images\apple_pie\85857.jpg | Blurry(58)
images\apple_pie\858876.jpg | Blurry(71)
images\apple_pie\860651.jpg | Blurry(64)
images\apple_pie\873371.jpg | Blurry(58)
images\apple_pie\89035.jpg | Blurry(30)
images\apple_pie\939246.jpg | Blurry(52)
images\apple_pie\981895.jpg | Blurry(64)
images\baby_back_ribs\1031072.jpg | Blurry(77),TooDark(30)
images\baby_back_ribs\1157308.jpg | Blurry(60)
images\baby_back_ribs\1202936.jpg | TooDark(34)
images\baby_back_ribs\1371630.jpg | Blurry(47)
images\baby_back_ribs\1576772.jpg | Blurry(28)
images\baby_back_ribs\1582932.jpg | Blurry(33)
