dish_id,image_path,mass,food_class,n_masks,seg_conf_mean,seg_conf_max,dominant_mask_area_px,image_h,image_w,image_area_px,area_px,area_ratio,bbox_w,bbox_h,bbox_area_px,bbox_fill_ratio,aspect_ratio,plate_depth,pseudo_volume_plate_minus_food,pseudo_volume_food_minus_plate,mean_height_plate_minus_food,mean_height_food_minus_plate,food_depth_mean,food_depth_std,food_depth_min,food_depth_p05,food_depth_p25,food_depth_p50,food_depth_p75,food_depth_p95,food_depth_max,global_depth_mean,global_depth_std,global_depth_min,global_depth_p05,global_depth_p25,global_depth_p50,global_depth_p75,global_depth_p95,global_depth_max
dish_1556572657,C:\training\mass_estimation\imagery\realsense_overhead\dish_1556572657\rgb.png,36.0,salad,13,0.408911815056434,0.7643855214118958,22512,480,640,307200,48832,0.1589583333333333,556,478,265768,0.183739201107733,1.1631799163179917,0.2692283391952514,2049.267578125,222.949462890625,0.0419656708836555,0.0045656426809728,0.2447413504123687,0.1221388429403305,0.0,0.0531723950058221,0.2220671214163303,0.2535600215196609,0.276323989033699,0.2928828433156013,0.9974424839019777,0.3172003030776977,0.1689807325601577,0.0,0.1772147752344608,0.2517824321985245,0.2747699618339538,0.3321074917912483,0.8657531201839445,1.0
dish_1556573514,C:\training\mass_estimation\imagery\realsense_overhead\dish_1556573514\rgb.png,23.0,stick,18,0.3904506762822469,0.7925376296043396,14333,480,640,307200,40791,0.132783203125,533,480,255840,0.1594394934333958,1.1104166666666666,0.3537094593048095,2188.0810546875,1007.1094970703124,0.0536412708461284,0.0246895030140876,0.3261111378669739,0.110635332763195,0.0080012716352939,0.0821738727390766,0.2877707630395889,0.3369344174861908,0.3942089676856994,0.4759476035833359,0.6328400373458862,0.4342382848262787,0.1572192013263702,0.0,0.2114867746829986,0.3367546200752258,0.3922751843929291,0.5485550165176392,0.687636476755142,1.0
dish_1556575014,C:\training\mass_estimation\imagery\realsense_overhead\dish_1556575014\rgb.png,62.0,stick,26,0.4173172288216077,0.8528391718864441,13118,480,640,307200,63103,0.2054134114583333,516,480,247680,0.2547763242894056,1.075,0.0851116329431533,674.5218505859375,522.745849609375,0.0106892203912138,0.0082840090617537,0.0828372314572334,0.0319023020565509,0.0016578285722061,0.032940587028861,0.0679505988955497,0.0835346132516861,0.0974609963595867,0.134793783724308,0.9074643850326538,0.1453681886196136,0.2031578421592712,0.0,0.0546754295006394,0.0786683354526758,0.0915952362120151,0.1084982808679342,0.8714803546667099,1.0
dish_1556575083,C:\training\mass_estimation\imagery\realsense_overhead\dish_1556575083\rgb.png,64.0,salad,19,0.4310212558821628,0.6463344693183899,23796,480,640,307200,63060,0.2052734375,527,480,252960,0.2492884250474383,1.0979166666666669,0.1728476732969284,857.1038208007812,779.96435546875,0.0135918781161308,0.0123686073347926,0.1718240529298782,0.0463525056838989,0.0049282275140285,0.0919122338294983,0.1560712903738021,0.1732960492372512,0.1869290061295032,0.2393638312816619,0.9672162532806396,0.2354648858308792,0.1724022179841995,0.0,0.0991473626345396,0.1624184474349022,0.1893722116947174,0.2381308823823928,0.8065702468156813,1.0
dish_1556575124,C:\training\mass_estimation\imagery\realsense_overhead\dish_1556575124\rgb.png,28.0,salad,11,0.3696915263479406,0.9048989415168762,21745,480,640,307200,54038,0.1759049479166666,559,479,267761,0.2018143045477123,1.1670146137787056,0.1731043308973312,1476.5616455078125,1336.197998046875,0.0273245051503181,0.0247270073741674,0.1743011027574539,0.1110575422644615,0.004473905544728,0.0424132170155644,0.1366922855377197,0.1675050556659698,0.1825485974550247,0.4902565538883205,0.9180048108100892,0.2324593067169189,0.1340847760438919,0.0,0.1223837509751319,0.1643821112811565,0.1923649385571479,0.2655349895358085,0.5975120186805725,1.0
dish_1556575273,C:\training\mass_estimation\imagery\realsense_overhead\dish_1556575273\rgb.png,152.0,salad,23,0.4525471886862879,0.7982900738716125,20146,480,640,307200,57057,0.185732421875,572,479,273988,0.2082463465553236,1.1941544885177453,0.0663686096668243,412.7901306152344,2894.544921875,0.0072346972301602,0.0507307574152946,0.1129759475588798,0.1859358549118042,0.0009865820175036,0.0227112624794244,0.0573360174894332,0.0702058598399162,0.07894878834486,0.7850809574127197,0.9908596277236938,0.1265743821859359,0.2038613110780716,0.0,0.0305012790486216,0.0589201897382736,0.0723205655813217,0.0969054773449897,0.8416573882102965,1.0
dish_1556575327,C:\training\mass_estimation\imagery\realsense_overhead\dish_1556575327\rgb.png,152.0,stick,27,0.4686653889991619,0.9061881303787231,8438,480,640,307200,40166,0.1307486979166666,474,410,194340,0.2066790161572501,1.1560975609756097,0.0824888348579406,752.2640991210938,569.297119140625,0.0187288783490657,0.0141736073419451,0.0779891908168792,0.0410219803452491,0.0125308269634842,0.0218924456275999,0.0387221043929457,0.0833497010171413,0.0929027423262596,0.1512191891670227,0.163236454129219,0.1472453325986862,0.2050654739141464,0.0,0.0298225780948996,0.067962622269988,0.0886136144399643,0.1329133808612823,0.8658123731613159,1.0
dish_1556575386,C:\training\mass_estimation\imagery\realsense_overhead\dish_1556575386\rgb.png,152.0,pudding,36,0.5092927937706312,0.9092442393302916,4423,480,640,307200,10498,0.0341731770833333,498,445,221610,0.0473715085059338,1.1191011235955055,0.0927195996046066,116.85838317871094,140.65365600585938,0.011131489649415,0.0133981378749012,0.0950341820716857,0.0301099549978971,0.0066997394897043,0.0491941446438431,0.0712096467614173,0.0919841043651104,0.1232593543827533,0.144636733084917,0.321250170469284,0.2028885930776596,0.2021882086992263,0.0,0.0346071396023035,0.0931221358478069,0.1356439217925071,0.2495174184441566,0.8409613728523253,1.0
dish_1556575446,C:\training\mass_estimation\imagery\realsense_overhead\dish_1556575446\rgb.png,152.0,salad,27,0.5052718652619256,0.7840330600738525,28404,480,640,307200,71472,0.23265625,471,449,211479,0.3379626345878314,1.0489977728285078,0.261620283126831,941.4652099609376,1585.1697998046875,0.013172504492104,0.0221788920462131,0.2698461711406708,0.0462584234774112,0.143262431025505,0.2058697380125522,0.2364205010235309,0.2676718384027481,0.2904755249619484,0.3508509904146194,0.3684139549732208,0.3019348084926605,0.1519721895456314,0.0,0.1558378681540489,0.2371739596128463,0.2716929316520691,0.3297893926501274,0.7566941052675246,1.0
dish_1556575499,C:\training\mass_estimation\imagery\realsense_overhead\dish_1556575499\rgb.png,152.0,salad,10,0.4273881435394287,0.7170122265815735,6398,480,640,307200,12701,0.0413444010416666,491,308,151228,0.0839857698309836,1.594155844155844,0.2166572511196136,344.1321716308594,256.2652893066406,0.0270948875695467,0.0201767813414335,0.2092271447181701,0.0617437064647674,0.0131506249308586,0.0782979279756546,0.1774013638496399,0.2221323847770691,0.2577412128448486,0.2854655385017395,0.3607670664787292,0.2719135582447052,0.1490722447633743,0.0,0.1076716285198927,0.1913139633834362,0.2416120618581771,0.3076744675636291,0.6918831855058669,1.0
