epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,17.5705,0.77319,1.88208,4.79935,0.02036,3.45923,0.9187,0.28292,0.78737,0.46229,0.9187,0.28292,0.78737,0.61868,1.45085,0.65991,1.97525,0.06157,0,0.00019,0.00019,0.08119
2,23.7059,0.77872,0.53819,0.88059,0.01926,0.30536,0.30233,0.975,0.86788,0.70245,0.30233,0.975,0.86788,0.76975,0.8542,0.40303,2.18944,0.03263,0,0.000389976,0.000389976,0.06139
3,29.8331,0.72695,0.67097,0.82136,0.01848,0.28858,1,0.94914,0.99151,0.73245,1,0.94914,0.99151,0.9466,1.20787,0.77668,0.62039,0.04975,0,0.000589856,0.000589856,0.0415899
4,35.6648,0.80364,0.72926,0.77862,0.02007,0.24326,0.97553,0.99686,0.99329,0.85817,0.97553,0.99686,0.99329,0.93679,0.70539,0.50799,0.30994,0.02639,0,0.000789566,0.000789566,0.0217896
5,41.4652,0.85533,0.70763,0.70016,0.02116,0.19072,1,0.90947,0.97681,0.79683,1,0.90947,0.97681,0.96645,0.8495,0.44506,0.60971,0.03552,0,0.000989033,0.000989033,0.00198903
6,47.1205,0.71513,0.5622,0.55324,0.01806,0.23047,0.92942,0.98779,0.98835,0.82957,0.92942,0.98779,0.98835,0.98611,0.83155,0.22771,0.37441,0.0327,0,0.000998474,0.000998474,0.000998474
7,52.9559,0.73955,0.37274,0.5636,0.01934,0.16347,0.95873,0.95,0.98765,0.83441,0.95873,0.95,0.98765,0.97384,0.73408,0.2327,0.38964,0.02719,0,0.000997803,0.000997803,0.000997803
8,58.6309,0.70884,0.4374,0.50026,0.01785,0.20081,0.95806,0.95,0.99086,0.79666,0.95806,0.95,0.99086,0.88755,0.84787,0.25946,0.3143,0.02855,0,0.000997011,0.000997011,0.000997011
9,64.327,0.76097,0.52042,0.44442,0.01904,0.13971,0.94733,0.89936,0.97308,0.85801,0.94733,0.89936,0.97308,0.95895,0.56581,0.19512,0.59116,0.01996,0,0.000996097,0.000996097,0.000996097
10,70.0368,0.69893,0.50303,0.44125,0.01827,0.21288,0.9511,0.97253,0.98915,0.8272,0.9511,0.97253,0.98915,0.94654,0.76824,0.21264,0.33012,0.02671,0,0.000995062,0.000995062,0.000995062
11,75.8517,0.76251,0.57967,0.53151,0.01863,0.16746,0.97346,0.91698,0.98353,0.84467,0.97346,0.91698,0.98353,0.97744,0.60453,0.18807,0.29903,0.02271,0,0.000993906,0.000993906,0.000993906
12,82.1424,0.67381,0.45591,0.44676,0.01679,0.14899,0.9487,0.92462,0.97907,0.89615,0.9487,0.92462,0.97907,0.9742,0.46091,0.19108,0.29484,0.01672,0,0.000992629,0.000992629,0.000992629
13,88.8884,0.72781,0.5818,0.45809,0.01671,0.20841,0.94847,1,0.98954,0.83155,0.94847,1,0.98954,0.89608,0.78965,0.19699,0.35362,0.02647,0,0.000991232,0.000991232,0.000991232
14,94.9653,0.71455,0.4904,0.41218,0.01627,0.15715,0.99545,1,0.995,0.87517,0.99545,1,0.995,0.99267,0.59043,0.2342,0.24402,0.02159,0,0.000989715,0.000989715,0.000989715
15,101.155,0.73582,0.58354,0.44234,0.01892,0.15101,0.99746,1,0.995,0.88193,0.99746,1,0.995,0.98582,0.54862,0.20459,0.20657,0.0217,0,0.000988079,0.000988079,0.000988079
16,107.773,0.67079,0.3015,0.33065,0.01649,0.10827,0.97558,0.9988,0.99378,0.88459,0.97558,0.9988,0.99378,0.95566,0.57955,0.20452,0.2575,0.01984,0,0.000986323,0.000986323,0.000986323
17,113.952,0.69841,0.46144,0.37214,0.0156,0.14132,0.97365,0.92396,0.9796,0.86896,0.97365,0.92396,0.9796,0.97771,0.55535,0.18953,0.31576,0.01972,0,0.000984449,0.000984449,0.000984449
18,120.047,0.57844,0.5091,0.37596,0.01395,0.14226,0.96717,0.95,0.99053,0.9114,0.96717,0.95,0.99053,0.98681,0.51983,0.16521,0.22577,0.01937,0,0.000982456,0.000982456,0.000982456
19,126.629,0.6077,0.58189,0.34717,0.01482,0.14177,1,0.99959,0.995,0.89903,1,0.99959,0.995,0.995,0.45165,0.17069,0.18073,0.01653,0,0.000980345,0.000980345,0.000980345
20,132.626,0.64703,0.43344,0.3563,0.01473,0.15819,0.97545,0.99365,0.99378,0.90755,0.97545,0.99365,0.99378,0.98657,0.47506,0.17214,0.18406,0.01706,0,0.000978118,0.000978118,0.000978118
21,138.993,0.58205,0.36898,0.32269,0.01403,0.09939,0.93361,0.95,0.98819,0.95365,0.93361,0.95,0.98819,0.98819,0.27258,0.18895,0.21643,0.00958,0,0.000975773,0.000975773,0.000975773
22,145.899,0.51298,0.55586,0.32245,0.01201,0.13887,0.95697,1,0.99329,0.92713,0.95697,1,0.99329,0.99329,0.38302,0.17553,0.2045,0.01299,0,0.000973312,0.000973312,0.000973312
23,151.612,0.54671,0.34702,0.31276,0.01175,0.1146,0.9981,1,0.995,0.90855,0.9981,1,0.995,0.99238,0.47218,0.19495,0.15338,0.0172,0,0.000970736,0.000970736,0.000970736
24,157.323,0.57899,0.50322,0.34291,0.0133,0.11144,0.99257,1,0.995,0.92038,0.99257,1,0.995,0.995,0.41305,0.17803,0.17889,0.01512,0,0.000968045,0.000968045,0.000968045
25,163.164,0.5148,0.45324,0.29606,0.01211,0.10958,0.99052,1,0.995,0.93888,0.99052,1,0.995,0.99205,0.36965,0.17543,0.20932,0.01415,0,0.000965239,0.000965239,0.000965239
26,168.811,0.54398,0.35624,0.29257,0.0129,0.12625,0.97042,0.975,0.99243,0.89361,0.97042,0.975,0.99243,0.98781,0.50353,0.16593,0.24312,0.01696,0,0.00096232,0.00096232,0.00096232
27,174.945,0.52108,0.38047,0.27611,0.01204,0.11316,0.97574,1,0.995,0.91326,0.97574,1,0.995,0.99087,0.43846,0.17115,0.17673,0.01684,0,0.000959289,0.000959289,0.000959289
28,181.02,0.58982,0.42935,0.31831,0.01246,0.12892,0.95738,0.975,0.99235,0.87768,0.95738,0.975,0.99235,0.98923,0.56019,0.16162,0.2286,0.02181,0,0.000956145,0.000956145,0.000956145
29,187.202,0.49764,0.32561,0.26936,0.01178,0.10563,0.99557,1,0.995,0.94257,0.99557,1,0.995,0.9769,0.38552,0.17235,0.1535,0.01306,0,0.000952889,0.000952889,0.000952889
30,193.215,0.48963,0.3724,0.27758,0.01132,0.11276,0.97474,1,0.99451,0.90765,0.97474,1,0.99451,0.98502,0.44534,0.18976,0.15888,0.01554,0,0.000949524,0.000949524,0.000949524
31,199.35,0.56796,0.40754,0.29595,0.01373,0.1084,0.99797,1,0.995,0.89724,0.99797,1,0.995,0.98187,0.49585,0.38524,0.17446,0.0191,0,0.000946048,0.000946048,0.000946048
