epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,145.121,0.90649,2.22685,5.8179,0.00996,7.32142,0.3414,0.0198,0.01181,0.0097,0.3515,0.01895,0.01186,0.00941,0.77699,1.72456,3.81268,0.01269,0,3.08013e-05,3.08013e-05,3.08013e-05
2,264.2,0.7875,1.63292,4.20342,0.00822,4.9658,0.61218,0.06263,0.04845,0.04056,0.603,0.0638,0.049,0.03928,0.76436,1.54603,3.02751,0.01234,0,6.11894e-05,6.11894e-05,6.11894e-05
3,382.714,0.77935,1.5213,3.41193,0.00802,3.87963,0.57175,0.10224,0.08458,0.07024,0.57305,0.10354,0.0859,0.06836,0.76382,1.49865,2.63279,0.01265,0,9.09638e-05,9.09638e-05,9.09638e-05
4,498.293,0.77482,1.47105,2.96267,0.00799,3.40558,0.56766,0.1351,0.11692,0.09755,0.56894,0.13611,0.11808,0.09476,0.75447,1.47004,2.45576,0.01213,0,9.02379e-05,9.02379e-05,9.02379e-05
5,613.287,0.7701,1.40956,2.68975,0.00787,3.01888,0.48799,0.16127,0.14103,0.11581,0.48939,0.16174,0.14198,0.11209,0.75501,1.4199,2.3015,0.01246,0,8.93172e-05,8.93172e-05,8.93172e-05
6,727.526,0.7546,1.36645,2.48404,0.00772,2.62141,0.50171,0.17905,0.15982,0.1326,0.50323,0.18053,0.16153,0.12768,0.7401,1.40926,2.18163,0.01193,0,8.83965e-05,8.83965e-05,8.83965e-05
7,843.436,0.74538,1.31991,2.34478,0.00757,2.23047,0.44915,0.19557,0.17407,0.1459,0.45115,0.1968,0.17548,0.14181,0.73772,1.39549,2.15145,0.01188,0,8.74758e-05,8.74758e-05,8.74758e-05
8,957.332,0.74004,1.29861,2.25202,0.00743,1.91185,0.45287,0.21478,0.19198,0.15933,0.45245,0.21756,0.19271,0.15331,0.73184,1.3996,2.06617,0.01175,0,8.65551e-05,8.65551e-05,8.65551e-05
9,1071.33,0.73866,1.28191,2.16373,0.00741,1.62082,0.49148,0.23735,0.21055,0.17617,0.49313,0.23966,0.21147,0.16973,0.7274,1.39357,2.01469,0.0116,0,8.56344e-05,8.56344e-05,8.56344e-05
10,1185.75,0.73526,1.26838,2.07802,0.00736,1.38634,0.47864,0.23865,0.21814,0.18241,0.48209,0.23818,0.22098,0.17521,0.72806,1.3641,1.97715,0.01168,0,8.47137e-05,8.47137e-05,8.47137e-05
11,1300.5,0.72238,1.23333,1.9987,0.00723,1.15661,0.43908,0.24759,0.22742,0.19081,0.44292,0.2468,0.22915,0.18387,0.72761,1.34693,1.93969,0.01172,0,8.3793e-05,8.3793e-05,8.3793e-05
12,1414.86,0.72101,1.22288,1.94723,0.00722,0.96633,0.46635,0.24922,0.23593,0.19802,0.47076,0.25051,0.23751,0.19183,0.72929,1.37267,1.95244,0.01163,0,8.28723e-05,8.28723e-05,8.28723e-05
