epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,207.214,0.69627,0.8027,3.07243,0.00741,1.69863,0.38244,0.10019,0.05376,0.0455,0.382,0.09928,0.05278,0.04419,0.60264,0.97014,2.66667,0.01095,0,0.000332255,0.000332255,0.0671068
2,391.364,0.60289,0.61347,2.23717,0.00641,0.50157,0.42325,0.18021,0.08965,0.07694,0.42395,0.1802,0.08989,0.07516,0.57963,0.76394,2.1863,0.01055,0,0.00066557,0.00066557,0.0341068
3,599.195,0.59049,0.584,2.03903,0.00634,0.48515,0.31721,0.15476,0.05641,0.04745,0.31771,0.15436,0.05687,0.04798,0.59771,0.68101,2.64284,0.01118,0,0.000998813,0.000998813,0.00110669
4,778.141,0.57953,0.53939,1.89552,0.00626,0.47754,0.32292,0.20364,0.07303,0.06482,0.32297,0.20396,0.07303,0.06437,0.48644,0.56154,2.50506,0.00875,0,0.000999756,0.000999756,0.000999756
5,956.664,0.53949,0.51915,1.80776,0.00563,0.47563,0.42481,0.34483,0.20618,0.18136,0.4249,0.34574,0.20669,0.185,0.56844,0.63638,1.79819,0.01009,0,0.000999566,0.000999566,0.000999566
6,1135.37,0.52628,0.5073,1.74467,0.00572,0.46676,0.34419,0.29275,0.16351,0.14585,0.34425,0.29307,0.16357,0.14536,0.48465,0.46529,1.85125,0.00874,0,0.000999322,0.000999322,0.000999322
7,1314.13,0.51361,0.50957,1.68855,0.00539,0.46835,0.51471,0.32949,0.2362,0.21446,0.51465,0.32939,0.23643,0.21889,0.45454,0.38459,1.47153,0.00844,0,0.000999023,0.000999023,0.000999023
8,1492.76,0.5059,0.49024,1.6396,0.00533,0.45723,0.36691,0.14207,0.10314,0.09222,0.36696,0.14137,0.10364,0.09376,1.0412,1.90964,3.92877,0.01902,0,0.000998671,0.000998671,0.000998671
9,1671.37,0.49257,0.48326,1.58063,0.00515,0.45068,0.41763,0.30776,0.19483,0.15998,0.41304,0.30841,0.19355,0.14972,0.82236,1.70507,2.46698,0.01558,0,0.000998264,0.000998264,0.000998264
10,1849.2,0.48729,0.47223,1.53639,0.00503,0.44774,0.41332,0.35762,0.25364,0.22855,0.41355,0.35826,0.25454,0.23048,0.44596,0.40855,1.44369,0.0076,0,0.000997803,0.000997803,0.000997803
11,2027.76,0.48018,0.46735,1.50251,0.00503,0.44517,0.2092,0.10447,0.04668,0.03715,0.20671,0.0929,0.04519,0.03738,1.57003,4.21933,4.67373,0.03149,0,0.000997288,0.000997288,0.000997288
12,2206.35,0.47162,0.46475,1.50156,0.00485,0.44442,0.41827,0.33235,0.21837,0.19597,0.4184,0.33296,0.21905,0.19278,0.46542,0.53186,1.66076,0.0082,0,0.00099672,0.00099672,0.00099672
13,2384.08,0.47122,0.45714,1.45014,0.00491,0.43862,0.25274,0.37037,0.22104,0.20352,0.25365,0.37148,0.22198,0.20013,0.39642,0.39117,1.77688,0.00703,0,0.000996097,0.000996097,0.000996097
